Month,Year,Taxpayers,Cultivator Tax Liability,Tax Liability to Date,Buds(lbs),Trim(lbs),Buds Sales,Trim Sales,Total Sales,Effective Tax Rate
October,2016,4,10400,10400,N/A,N/A,N/A,N/A,N/A,N/A
November,2016,7,81100,91500,N/A,N/A,N/A,N/A,N/A,N/A
December,2016,13,145800,237300,167,46,793584,36800,830384,0.175581418
January ,2017,17,107500,344800,111,77,527472,61600,589072,0.182490426
February,2017,20,128000,472800,135,85,641520,68000,709520,0.180403653
March,2017,27,220200,693000,225,169,1069200,135200,1204400,0.182829625
April,2017,29,272000,965000,269,236,1278288,188800,1467088,0.185401285
May,2017,31,272600,1237600,290,170,1378080,136000,1514080,0.180043327
June,2017,40,512500,1750100,547,313,2599344,250400,2849744,0.179840716
July,2017,46,577901,2328001,612,369,2908224,295200,3203424,0.180401033
August,2017,56,694364,3022365,734,447,3487968,357600,3845568,0.180562143
September,2017,64,723757,3746122,716,630,3402432,504000,3906432,0.18527316
October,2017,66,953591,4699713,1004,626,4771008,500800,5271808,0.180885002
November,2017,67,872197,5571910,857,777,4072464,621600,4694064,0.185808502
December,2017,70,784176,6356086,824,519,3915648,415200,4330848,0.181067542
January ,2018,81,1040512,7396598,1061,797,4855136,557900,5413036,0.192223366
February,2018,87,897082,8293680,880,806,4026880,564200,4591080,0.195396726
March,2018,92,1089580,9383260,1106,852,5061056,596400,5657456,0.192591865
April,2018,90,1063847,10447107,1033,990,4727008,693000,5420008,0.196281445
May,2018,96,1180349,11627456,1188,958,5436288,670600,6106888,0.193281586
June,2018,100,1257513,12884969,1250,1074,5720000,751800,6471800,0.19430653
July,2018,107,1369022,14253991,1378,1110,6305728,777000,7082728,0.193290212
August,2018,111,1540427,15794418,1613,1041,7381088,728700,8109788,0.189946642
September,2018,119,1481523,17275941,1529,1077,6996704,753900,7750604,0.191149361
,,,,,,,,,,
