Month,Medical Monthly Sales,Medical YTD,Retail Monthly Sales,Retail YTD,Total Monthly Sales,Total YTD,Total to Date
Jan 2014,32541720,32541720,14022213,14022213,46563933,46563933,46563933
Feb 2014,31738572,64280292,14248473,28270686,45987045,92550978,92550978
Mar 2014,34821878,99102170,19881631,48152317,54703509,147254487,147254487
Apr 2014,32686869,131789039,20765986,68918303,53452855,200707342,200707342
May 2014,31355208,163144247,21375001,90293304,52730209,253437551,253437551
Jun 2014,29950309,193094556,23978082,114271386,53928391,307365942,307365942
Jul 2014,31137623,224232179,29866792,144138178,61004415,368370357,368370357
Aug 2014,33912226,258144405,33520608,177658786,67432834,435803191,435803191
Sep 2014,32721238,290865643,30345357,208004143,63066595,498869786,498869786
Oct 2014,31779216,322644859,31185985,239190128,62965201,561834987,561834987
Nov 2014,28978462,351623321,29470126,268660254,58448588,620283575,620283575
Dec 2014,28660719,380284040,34579445,303239699,63240164,683523739,683523739
Jan 2015,30181833,30181833,37224033,37224033,67405866,67405866,750929605
Feb 2015,29066073,59247906,35843189,73067222,64909262,132315128,815838867
Mar 2015,32820548,92068454,42952626,116019848,75773174,208088302,891612041
Apr 2015,32878517,124946971,43832944,159852792,76711461,284799763,968323502
May 2015,33609116,158556087,44590853,204443645,78199969,362999732,1046523471
Jun 2015,34552396,193108483,46460218,250903863,81012614,444012346,1127536085
Jul 2015,40611139,233719622,55315111,306218974,95926250,539938596,1223462335
Aug 2015,40819368,274538990,57679482,363898456,98498850,638437446,1321961185
Sep 2015,39991813,314530803,53639366,417537822,93631179,732068625,1415592364
Oct 2015,36742780,351273583,54467764,472005586,91210544,823279169,1506802908
Nov 2015,30770436,382044019,49453755,521459341,80224191,903503360,1587027099
Dec 2015,36010893,418054912,56077002,577536343,92087895,995591255,1679114994
Jan 2016,32860544,32860544,55896018,55896018,88756562,88756562,1767871556
Feb 2016,34019234,66879778,57045314,112941332,91064548,179821110,1858936104
Mar 2016,38116173,104995951,65121388,178062720,103237561,283058671,1962173665
Apr 2016,38294503,143290454,63841328,241904048,102135831,385194502,2064309496
May 2016,37636295,180926749,63831071,305735119,101467366,486661868,2165776862
Jun 2016,38177550,219104299,67881863,373616982,106059413,592721281,2271836275
Jul 2016,40129985,259234284,81478447,455095429,121608432,714329713,2393444707
Aug 2016,41056948,300291232,84055363,539150792,125112311,839442024,2518557018
Sep 2016,39672483,339963715,86137409,625288201,125809892,965251916,2644366910
Oct 2016,35940555,375904270,80695313,705983514,116635868,1081887784,2761002778
Nov 2016,34839439,410743709,74382892,780366406,109222331,1191110115,2870225109
Dec 2016,34872353,445616062,81221005,861587411,116093358,1307203473,2986318467
Jan 2017,31712608,31712608,76018423,76018423,107731031,107731031,3094049498
Feb 2017,31074413,62787021,75665966,151684389,106740379,214471410,3200789877
Mar 2017,37451683,100238704,92912147,244596536,130363830,344835240,3331153707
Apr 2017,38049392,138288096,86223281,330819817,124272673,469107913,3455426380
May 2017,36521894,174809990,87012525,417832342,123534419,592642332,3578960799
Jun 2017,36125578,210935568,92825639,510657981,128951217,721593549,3707912016
Jul 2017,35256994,246192562,101037453,611695434,136294447,857887996,3844206463
Aug 2017,36921075,283113637,101548082,713243516,138469157,996357153,3982675620
Sep 2017,35518033,318631670,100280636,813524152,135798669,1132155822,4118474289
Oct 2017,34082247,352713917,93623919,907148071,127706166,1259861988,4246180455
Nov 2017,31878468,384592385,87689309,994837380,119567777,1379429765,4365748232
Dec 2017,31924397,416516782,96348057,1091185437,128272454,1507702219,4494020686
Jan 2018,29263308,29263308,88729914,88729914,117993222,117993222,4612013908
Feb 2018,26640302,55903610,85869215,174599129,112509517,230502739,4724523425
Mar 2018,29238678,85142288,105945278,280544407,135183956,365686695,4859707381
Apr 2018,27019073,112161361,97290806,377835213,124309879,489996574,4984017260
May 2018,26225775,138387136,96642441,474477654,122868216,612864790,5106885476
Jun 2018,27096966,165484102,102426064,576903718,129523030,742387820,5236408506
Jul 2018,27239015,192723116,111296569,688200287,138535584,880923403,5374944089
Aug 2018,28323863,221046979,112998245,801198532,141322108,1022245511,5516266197
Sep 2018,27897573,248944551,107638880,908837412,135536453,1157781963,5651802649
Oct 2018,27919377,276863929,101305394,1010142806,129224771,1287006735,5781027421
Nov 2018,26062807,302926736,97877084,1108019890,123939891,1410946626,5904967312
