Month of Activity2,Taxable retail sales as reported by marijuana collectives (before tax)3,Estimated retail value of marijuana and marijuana products sold at a licensed marijuana retailer (before tax)4,Total retail value of marijuana and marijuana products (before tax),Sales exempt from sales tax for medical purposes5,Estimated retail value of marijuana and marijuana products subject to state and local sales taxes,Estimated state sales tax collections,Weighted average local sales tax rate6,Estimated local sales tax collections
Jul-14,7478000,1847000,9325000,0,9325000,606000,0.024695883,230000
Aug-14,7347000,4555000,11902000,0,11902000,774000,0.024695883,294000
Sep-14,8598000,5806000,14404000,0,14404000,936000,0.024695883,356000
Oct-14,7597000,7746000,15344000,0,15344000,997000,0.024695883,379000
Nov-14,7526000,9091000,16618000,0,16618000,1080000,0.024695883,410000
Dec-14,12405000,11605000,24010000,0,24010000,1561000,0.024695883,593000
Jan-15,10237000,13096000,23334000,0,23334000,1517000,0.024695883,576000
Feb-15,9869000,16086000,25955000,0,25955000,1687000,0.024695883,641000
Mar-15,11367000,21363000,32730000,0,32730000,2127000,0.024695883,808000
Apr-15,11451000,24854000,36306000,0,36306000,2360000,0.024695883,897000
May-15,11844000,30303000,42148000,0,42148000,2740000,0.024695883,1041000
Jun-15,12181000,33277000,45458000,0,45458000,2955000,0.024695883,1123000
Jul-15,8185000,31455000,39640000,0,39640000,2577000,0.024990223,991000
Aug-15,7756000,35253000,43009000,0,43009000,2796000,0.024990223,1075000
Sep-15,7554000,37923000,45477000,0,45477000,2956000,0.024990223,1136000
Oct-15,7155000,38116000,45272000,0,45272000,2943000,0.024990223,1131000
Nov-15,6725000,35652000,42378000,0,42378000,2755000,0.024990223,1059000
Dec-15,7388000,40196000,47584000,0,47584000,3093000,0.024990223,1189000
Jan-16,5338000,39596000,44934000,0,44934000,2921000,0.024990223,1123000
Feb-16,5147000,42329000,47476000,0,47476000,3086000,0.024990223,1186000
Mar-16,5420000,46713000,52133000,0,52133000,3389000,0.024990223,1303000
Apr-16,5826000,49037000,54863000,0,54863000,3566000,0.024990223,1371000
May-16,5862000,51821000,57683000,0,57683000,3749000,0.024990223,1442000
Jun-16,5722000,53856000,59578000,0,59578000,3873000,0.024990223,1489000
Jul-16,0,64241000,64241000,149000,64092000,4166000,0.02535482,1625000
Aug-16,0,68168000,68168000,440000,67729000,4402000,0.02535482,1717000
Sep-16,0,70903000,70903000,641000,70262000,4567000,0.02535482,1781000
Oct-16,0,69242000,69242000,707000,68536000,4455000,0.02535482,1738000
Nov-16,0,67194000,67194000,785000,66409000,4317000,0.02535482,1684000
Dec-16,0,73130000,73130000,922000,72208000,4694000,0.02535482,1831000
Jan-17,0,67746000,67746000,780000,66965000,4353000,0.02535482,1698000
Feb-17,0,67517000,67517000,834000,66683000,4334000,0.02535482,1691000
Mar-17,0,76468000,76468000,1197000,75271000,4893000,0.02535482,1908000
Apr-17,0,74191000,74191000,1004000,73187000,4757000,0.02535482,1856000
May-17,0,74826000,74826000,1010000,73816000,4798000,0.02535482,1872000
Jun-17,0,77309000,77309000,1026000,76283000,4958000,0.02535482,1934000
Jul-17,0,80762000,80762000,970000,79792000,5187000,0.028238719,2253000
Aug-17,0,83199000,83199000,1079000,82120000,5338000,0.028238719,2319000
Sep-17,0,82329000,82329000,1007000,81321000,5286000,0.028238719,2296000
Oct-17,0,79698000,79698000,962000,78736000,5118000,0.028238719,2223000
Nov-17,0,77620000,77620000,933000,76688000,4985000,0.028238719,2166000
Dec-17,0,83578000,83578000,987000,82590000,5368000,0.028238719,2332000
Jan-18,0,77732000,77732000,936000,76796000,4992000,0.028238719,2169000
Feb-18,0,75851000,75851000,931000,74920000,4870000,0.028238719,2116000
Mar-18,0,85666000,85666000,1113000,84553000,5496000,0.028238719,2388000
Apr-18,0,81343000,81343000,1012000,80331000,5221000,0.028238719,2268000
May-18,0,83111000,83111000,1013000,82098000,5336000,0.028238719,2318000
Jun-18,0,85933000,85933000,1017000,84917000,5520000,0.028238719,2398000
Jul-18,0,87896000,87896000,987000,86909000,5649000,0.02826,2456000
Aug-18,0,91727000,91727000,1033000,90694000,5895000,0.02826,2563000
Sep-18,0,84642000,84642000,983000,83659000,5438000,0.02826,2364000
Oct-18,0,76594000,76594000,986000,75608000,4915000,0.02826,2137000
,,,,,,,,
